Timestamp,Locality,Latitude,Longitude,Signal Strength (dBm),Signal Quality (%),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm),signal_quality
,Anisabad,25.59910862,85.1373547,-84.27411319,71.70023903456085,1.863890037,129.122914,3G,0.0,0.0,0.0,Unknown
,Fraser Road,25.43328559,85.07005348,-97.65312098,46.764872684303036,5.132296384,54.8836057,4G,-95.81079071,-105.4523585,-99.92089157,Unknown
,Boring Canal Road,25.49880889,85.2113714,-87.04613368,71.43694632808868,1.176985004,119.5982862,LTE,-91.59386079,-95.41948203,-87.71406994,Unknown
2025-09-15 00:01:36,Danapur,25.73513844,85.20839952,-94.14315859,73.03888042936747,68.5969323,46.59838702,5G,-90.64277282,-101.8959052,-96.5706979,Unknown
2025-09-15 03:08:48,Phulwari Sharif,25.53855564,85.15985987,-94.56476466,10.327691303898966,38.2920383,30.34282765,5G,-90.48909992,-103.3183035,-95.10246712,Unknown
2025-09-15 06:16:06,Bankipore,25.64070078,85.01413424,-91.1960294,74.47864632837653,1.712595676,190.6828442,LTE,-93.47470691,-97.9575788,-94.19290714,Unknown
2025-09-15 09:23:18,Kidwaipuri,25.76633295,85.0961902,-85.65309191,42.716318437830544,4.03660851,99.88702425,4G,-87.98528177,-90.77001713,-86.18686983,Unknown
2025-09-15 12:30:30,Phulwari Sharif,25.64010416,85.03386136,-85.98005248,38.87504595435184,2.670604991,132.0780065,LTE,-89.11486737,-95.77617677,-85.43469482,Unknown
2025-09-15 15:37:42,Gardanibagh,25.58570486,85.30570388,-96.84211831,31.748680151649655,2.9925074,196.5419351,LTE,-96.25918378,-102.4289366,-98.70987566,Unknown
2025-09-15 18:44:54,Boring Road,25.56449947,85.08860677,-84.64306452,8.298109641611584,1.567841949,130.536386,3G,0.0,0.0,0.0,Unknown
2025-09-15 21:52:06,S.K. Puri,25.59368406,85.28094254,-90.30840684,10.991534487104548,9.244325886,81.5569313,4G,-87.3602938,-97.79522137,-89.84698353,Unknown
